Wind Tunnel Setting (Hz)	Air Temperature (degree C)	Dynamic Pressure (Pa)	Angle of Attack (degrees)	Scannivalve Reading (in of H2O)	Scannivalve Port #	Velocity (m/s)	Ambient Pressure (kPa)
40.000	32.504	792.379	10.000	-3.698	6.000	38.075	95.920
40.000	32.327	792.976	10.000	-3.332	7.000	38.053	95.920
40.000	32.199	793.714	10.000	-2.985	8.000	38.084	95.920
40.000	32.033	793.151	10.000	-2.689	9.000	38.091	95.920
40.000	30.107	810.906	12.000	-10.624	1.000	38.340	95.920
40.000	30.001	809.475	12.000	-7.082	2.000	38.340	95.920
40.000	29.942	810.235	12.000	-5.662	3.000	38.367	95.920
40.000	29.891	810.412	12.000	-4.767	4.000	38.344	95.920
40.000	29.892	810.884	12.000	-4.122	5.000	38.322	95.920
40.000	29.913	810.850	12.000	-3.628	6.000	38.339	95.920
40.000	29.985	810.664	12.000	-3.237	7.000	38.358	95.920
40.000	30.063	810.059	12.000	-2.913	8.000	38.372	95.920
40.000	30.159	811.591	12.000	-2.695	9.000	38.386	95.920
